Data point,Time of Sample,Population
0,1/1/1907,0
1,2/1/1907,2
2,3/1/1907,1
3,4/1/1907,59
4,5/1/1907,15
5,6/1/1907,80
6,7/1/1907,30
7,8/1/1907,152
8,9/1/1907,82
9,10/1/1907,69
10,11/1/1907,2
11,12/1/1907,1
12,1/1/1908,0
13,2/1/1908,2
14,3/1/1908,0
15,4/1/1908,2
16,5/1/1908,30
17,6/1/1908,28
18,7/1/1908,12
19,8/1/1908,9
20,9/1/1908,120
21,10/1/1908,51
22,11/1/1908,8
23,12/1/1908,0
24,1/1/1909,1
25,2/1/1909,0
26,3/1/1909,0
27,4/1/1909,0
28,5/1/1909,14
29,6/1/1909,73
30,7/1/1909,93
31,8/1/1909,74
32,9/1/1909,27
33,10/1/1909,5
34,11/1/1909,6
35,12/1/1909,2
36,1/1/1910,0
37,2/1/1910,0
38,3/1/1910,9
39,4/1/1910,83
40,5/1/1910,77
41,6/1/1910,70
42,7/1/1910,218
43,8/1/1910,422
44,9/1/1910,127
45,10/1/1910,53
46,11/1/1910,1
47,12/1/1910,0
48,1/1/1911,0
49,2/1/1911,0
50,3/1/1911,0
51,4/1/1911,7
52,5/1/1911,42
53,6/1/1911,81
54,7/1/1911,45
55,8/1/1911,34
56,9/1/1911,28
57,10/1/1911,1
58,11/1/1911,0
59,12/1/1911,0
60,1/1/1912,0
61,2/1/1912,0
62,3/1/1912,1
63,4/1/1912,17
64,5/1/1912,342
65,6/1/1912,19
66,7/1/1912,61
67,8/1/1912,45
68,9/1/1912,61
69,10/1/1912,18
70,11/1/1912,2
71,12/1/1912,0
72,1/1/1913,0
73,2/1/1913,0
74,3/1/1913,3
75,4/1/1913,56
76,5/1/1913,52
77,6/1/1913,235
78,7/1/1913,165
79,8/1/1913,34
80,9/1/1913,19
81,10/1/1913,9
82,11/1/1913,2
83,12/1/1913,0
84,1/1/1914,0
85,2/1/1914,1
86,3/1/1914,6
87,4/1/1914,15
88,5/1/1914,73
89,6/1/1914,21
90,7/1/1914,87
91,8/1/1914,103
92,9/1/1914,98
93,10/1/1914,69
94,11/1/1914,1
95,12/1/1914,0
96,1/1/1915,0
97,2/1/1915,0
98,3/1/1915,0
99,4/1/1915,92
100,5/1/1915,19
101,6/1/1915,41
102,7/1/1915,131
103,8/1/1915,306
104,9/1/1915,158
105,10/1/1915,126
106,11/1/1915,0
107,12/1/1915,0
108,1/1/1916,1
109,2/1/1916,0
110,3/1/1916,6
111,4/1/1916,1
112,5/1/1916,0
113,6/1/1916,27
114,7/1/1916,83
115,8/1/1916,107
116,9/1/1916,115
117,10/1/1916,8
118,11/1/1916,0
119,12/1/1916,0
120,1/1/1917,0
121,2/1/1917,0
122,3/1/1917,3
123,4/1/1917,19
124,5/1/1917,5
125,6/1/1917,126
126,7/1/1917,180
127,8/1/1917,346
128,9/1/1917,141
129,10/1/1917,154
130,11/1/1917,3
131,12/1/1917,0
132,1/1/1918,1
133,2/1/1918,0
134,3/1/1918,0
135,4/1/1918,0
136,5/1/1918,29
137,6/1/1918,133
138,7/1/1918,62
139,8/1/1918,132
140,9/1/1918,110
141,10/1/1918,4
142,11/1/1918,1
143,12/1/1918,0
144,1/1/1919,0
145,2/1/1919,0
146,3/1/1919,1
147,4/1/1919,0
148,5/1/1919,119
149,6/1/1919,381
150,7/1/1919,139
151,8/1/1919,240
152,9/1/1919,73
153,10/1/1919,28
154,11/1/1919,1
155,12/1/1919,0
156,1/1/1920,0
157,2/1/1920,0
158,3/1/1920,1
159,4/1/1920,1
160,5/1/1920,182
161,6/1/1920,102
162,7/1/1920,225
163,8/1/1920,208
164,9/1/1920,150
165,10/1/1920,6
166,11/1/1920,6
167,12/1/1920,0
