Data point,Time of Sample,Population
0,1/1/1907,337
1,2/1/1907,170
2,3/1/1907,1217
3,4/1/1907,1975
4,5/1/1907,912
5,6/1/1907,1583
6,7/1/1907,1200
7,8/1/1907,796
8,9/1/1907,1811
9,10/1/1907,4186
10,11/1/1907,1045
11,12/1/1907,616
12,1/1/1908,258
13,2/1/1908,196
14,3/1/1908,2526
15,4/1/1908,758
16,5/1/1908,157
17,6/1/1908,406
18,7/1/1908,28
19,8/1/1908,130
20,9/1/1908,5137
21,10/1/1908,3652
22,11/1/1908,1897
23,12/1/1908,2679
24,1/1/1909,1531
25,2/1/1909,899
26,3/1/1909,691
27,4/1/1909,732
28,5/1/1909,2752
29,6/1/1909,2086
30,7/1/1909,3352
31,8/1/1909,6324
32,9/1/1909,6269
33,10/1/1909,8990
34,11/1/1909,2520
35,12/1/1909,2096
36,1/1/1910,1042
37,2/1/1910,299
38,3/1/1910,353
39,4/1/1910,3893
40,5/1/1910,2267
41,6/1/1910,3847
42,7/1/1910,6153
43,8/1/1910,7579
44,9/1/1910,7427
45,10/1/1910,6074
46,11/1/1910,1861
47,12/1/1910,1279
48,1/1/1911,370
49,2/1/1911,460
50,3/1/1911,476
51,4/1/1911,1554
52,5/1/1911,1501
53,6/1/1911,4168
54,7/1/1911,12012
55,8/1/1911,8916
56,9/1/1911,4129
57,10/1/1911,2332
58,11/1/1911,3056
59,12/1/1911,1187
60,1/1/1912,1056
61,2/1/1912,446
62,3/1/1912,2001
63,4/1/1912,1060
64,5/1/1912,11899
65,6/1/1912,14599
66,7/1/1912,4987
67,8/1/1912,6429
68,9/1/1912,4027
69,10/1/1912,30866
70,11/1/1912,3196
71,12/1/1912,2288
72,1/1/1913,859
73,2/1/1913,1134
74,3/1/1913,2480
75,4/1/1913,3681
76,5/1/1913,4030
77,6/1/1913,16944
78,7/1/1913,5874
79,8/1/1913,6768
80,9/1/1913,9273
81,10/1/1913,3236
82,11/1/1913,3134
83,12/1/1913,1013
84,1/1/1914,1175
85,2/1/1914,855
86,3/1/1914,1091
87,4/1/1914,13332
88,5/1/1914,2119
89,6/1/1914,11003
90,7/1/1914,4998
91,8/1/1914,10679
92,9/1/1914,3731
93,10/1/1914,4020
94,11/1/1914,1664
95,12/1/1914,1456
96,1/1/1915,482
97,2/1/1915,324
98,3/1/1915,1043
99,4/1/1915,5940
100,5/1/1915,7999
101,6/1/1915,6486
102,7/1/1915,4094
103,8/1/1915,16757
104,9/1/1915,18130
105,10/1/1915,26986
106,11/1/1915,4236
107,12/1/1915,2735
108,1/1/1916,222
109,2/1/1916,672
110,3/1/1916,1695
111,4/1/1916,921
112,5/1/1916,9650
113,6/1/1916,14006
114,7/1/1916,10259
115,8/1/1916,9376
116,9/1/1916,22105
117,10/1/1916,10956
118,11/1/1916,2712
119,12/1/1916,802
120,1/1/1917,2098
121,2/1/1917,650
122,3/1/1917,334
123,4/1/1917,2919
124,5/1/1917,6475
125,6/1/1917,7654
126,7/1/1917,10930
127,8/1/1917,8938
128,9/1/1917,6436
129,10/1/1917,2205
130,11/1/1917,4454
131,12/1/1917,1101
132,1/1/1918,267
133,2/1/1918,699
134,3/1/1918,5064
135,4/1/1918,3444
136,5/1/1918,3149
137,6/1/1918,1880
138,7/1/1918,3808
139,8/1/1918,1962
140,9/1/1918,5193
141,10/1/1918,928
142,11/1/1918,2847
143,12/1/1918,2449
144,1/1/1919,977
145,2/1/1919,385
146,3/1/1919,1045
147,4/1/1919,2336
148,5/1/1919,4355
149,6/1/1919,13765
150,7/1/1919,4433
151,8/1/1919,7486
152,9/1/1919,10102
153,10/1/1919,4184
154,11/1/1919,6474
155,12/1/1919,1399
156,1/1/1920,1100
157,2/1/1920,563
158,3/1/1920,1086
159,4/1/1920,3107
160,5/1/1920,6036
161,6/1/1920,6642
162,7/1/1920,10889
163,8/1/1920,10463
164,9/1/1920,44421
165,10/1/1920,4083
166,11/1/1920,11789
167,12/1/1920,1564
